question,answer,difficulty
"A 64-year-old man with a 2-year history of seizure disorder presented to the emergency department (ED) at an outside hospital with breakthrough seizures. One month prior to his ED visit, he had been treated with oral antibiotics when he presented to an urgent care center with left-sided otorrhea, otalgia, and hearing loss. In the ED, he denied headaches, fever, otalgia, otorrhea, or hearing loss. Magnetic resonance imaging of the brain with contrast showed diffuse enhancement and possible coalescence in the left mastoid process with adjacent dural enhancement and sigmoid sinus occlusion. He received intravenous vancomycin and cefepime and was started on a heparin drip before being transferred to our facility. On presentation at our facility, the patient appeared well with normal vital signs. There was no periauricular swelling or erythema. Otoscopic examination showed no inflammation of the external auditory canals, and the tympanic membranes were translucent without evidence of retraction or effusion. Computed tomographic venogram confirmed occlusion of the left transverse and sigmoid sinuses, and computed tomography of the temporal bone showed coalescence of mastoid air cells with erosion into the sigmoid sinus. Mastoidectomy was performed for biopsy and culture specimens. Histologic findings from the specimens demonstrated cells with oval nuclei and abundant cytoplasm arranged in syncytial clusters with occasional whorls, pseudoinclusions, and psammomatous calcifications (Figure, A). Immunohistochemical stains were positive for epithelial membrane antigen (EMA) and vimentin (Figure, B). Hematoxylin-eosin stain (A) and immunohistochemical stain (B) after mastoidectomy for biopsy and culture specimens. What Is Your Diagnosis?",Meningioma,hard
"A 62-year-old healthy man with no recent travel history or sick contacts presented with 2 weeks of midline sore throat without systemic signs, such as fever, myalgia, or rash. A physical examination, including flexible laryngoscopy, revealed cobbling, adherent, thick yellow mucus and ulceration of the uvula (Figure 1A). A, Nasopharyngoscopic imaging revealed infected nasal surface of uvula. B, Physical examination showed recurrent skin lesions at incision site and in the surrounding skin. Empirical treatment with augmentin and nystatin oral suspension for possible bacterial or fungal pharyngitis was unsuccessful, with symptoms worsening during the subsequent 2 weeks. Results of laboratory testing for group AStreptococcus, COVID-19, and mononucleosis were negative. A tissue biopsy was performed, and results of pathology revealed epithelial hyperplasia with suppurative granulomatous inflammation without evidence of dysplasia or malignancy. There was no evidence of fungal or acid-fast organisms. Tissue culture revealed only normal respiratory flora. Additional treatment with fluconazole, augmentin, doxycycline, omeprazole, prednisone, and bactrim failed to improve symptoms. Further exploration of the patient’s history revealed that 5 years earlier, he had traveled to Guyana in South America. After that trip, he sought medical care for multiple neck subcutaneous nodules as well as for a 4-cm focus of neck cellulitis. After failed treatment with empirical antibiotics, the largest lesion was excised. Findings of pathologic testing revealed dense granulomatous inflammation. However, results of stains for bacteria, fungus, and acid-fast bacillus were negative (Figure 1B). The remaining cutaneous and subcutaneous nodules had resolved spontaneously. What Is Your Diagnosis?",Leishmaniasis,hard
"A 53-year-old woman with a history of stage IVA1 (T4N1M0B2) mycosis fungoides presented with a new 1-month history of hyperpigmentation of the oral mucosa (Figure 1). Examination of the mouth revealed multiple coalescing painless nonpruritic black macules and patches on the tongue, roof of the mouth, and buccal mucosa. Examination of the skin was notable for erythematous and hyperpigmented patches covering 90% of the body surface area, consistent with her known mycosis fungoides. Other notable findings on examination were 1- to 2-cm lymphadenopathy in the bilateral inguinal folds and axillae. Review of systems was notable for fatigue. The patient had previously received 5 cycles of romidepsin with progression of disease, followed by 4 doses of pegylated liposomal doxorubicin hydrochloride, which was followed by partial response. Black macules and patches on the tongue, roof of the mouth, and buccal mucosa. What Is Your Diagnosis?",Medication adverse effect,easy
"A 33-year-old man with no prior ocular problems presented to the emergency department in central Florida with a chief complaint of a “pulling and popping” sensation in his left eye that had occurred the previous night. Ophthalmology was consulted to evaluate for a conjunctival foreign body of the left eye. At the time of the examination, his symptoms had resolved; however, he had a photograph from a cellular phone taken during the episode (Figure 1). The photograph shows an irregular, serpiginous extension from beneath the plica semilunaris toward the corneal limbus with localized conjunctival hyperemia. He reported a similar sensation of movement in his left eye that occurred for 1 night about 5 years ago for which he visited an urgent care center where he was diagnosed with allergic conjunctivitis. He also reported recent swelling of the left side of his face with associated numbness and occasional swelling of his left hand, all of which resolved after a few days. He had immigrated from Nigeria 10 years prior, had not returned since, and was working as a traveling nurse. A slitlamp examination did not reveal any conjunctival hyperemia, foreign bodies, or other abnormalities like those shown in the photograph. His uncorrected visual acuity was 20/20, extraocular movements were full and without pain or abnormal sensation, and intraocular pressure was normal. His dilated fundus examination was unremarkable. A comprehensive blood cell count revealed mild elevation in the relative (but not absolute) eosinophil count (6.9% reference; 6.0% of white blood cells). Patient cellular phone photograph of the left eye shows an irregular serpiginous extension from beneath the plica semilunaris toward the corneal limbus with localized conjunctival hyperemia. What Would You Do Next?",Peripheral blood smear,hard
"A 13-year-old boy with a history of sports-related blunt trauma to the left eye was referred for evaluation of an asymptomatic, pigmented iris lesion in the left eye. On examination, his best-corrected visual acuity was 20/20 OU, and intraocular pressures were normal in both eyes. Results of slitlamp examination of the right eye were unremarkable. Slitlamp examination of the left eye revealed a round, pigmented lesion measuring 3 × 3 mm in basal dimension and with gravitational shifting within the anterior chamber fluid with patient head tilt (Video). There was no corneal guttatae or edema. Anterior segment optical coherence tomography depicted the lesion in the anterior chamber angle abutting the corneal endothelium and resting on the iris stroma with no internal fluid level and no solid component. Ultrasound biomicroscopy confirmed the lesion to be cystic with a thickness of 1.6 mm. Dilated fundus examination revealed normal findings in both eyes. What Would You Do Next?",Observe with no additional testing or intervention,easy
"A woman in her 60s with long-standing thickening and induration of the legs presented with 1 week of left leg pain. The patient had previously been diagnosed with elephantiasis nostras verrucosa, and she was advised to elevate and compress the leg but was unavailable for follow-up. Her medical history was notable for morbid obesity, hypertension, diabetes, and stroke. She reported no fever, fatigue, weight changes, gastrointestinal symptoms, difficulty concentrating, anxiety, or hyperhidrosis. Physical examination results revealed multiple firm skin-colored papules and nodules coalescing to form a large plaque on the anterior aspect of the left lower leg, whereas the right lower leg had diffuse induration and hyperpigmentation (Figure 1). There was no palpable lymphadenopathy. Laboratory analysis revealed normal complete blood cell count, thyroid function, serum protein electrophoresis, and serum immunofixation. A biopsy of a left leg nodule was performed. Multiple firm skin-colored papules and nodules coalesce to form a large plaque on the anterior aspect of the left lower leg. What Is Your Diagnosis?",Euthyroid pretibial mucinosis,easy
"A female patient in her early 50s presented with multiple (approximately 10) bluish, partially keratotic papules and nodules on the lower legs (Figure, A). Since the age of 24 years, the lesions had been growing very slowly in number and size and had been bleeding occasionally after a trauma. The patient used a wheelchair due to a right-sided hemiparesis and hemianopsia caused by an intracranial hemorrhage. At the age of 4 years, recurrent seizures had led to the diagnosis of cerebral venous malformations. Clinical examination also demonstrated a lipolymphedema of the lower legs that had been attributed to a functional venous insufficiency with insufficient venous pump activity. The patient had been wearing compression stockings for years. The family history was positive for cerebral venous malformations involving the patient’s father and aunt, the father having died of an intracranial hemorrhage in his early 70s. A, Clinical picture. B and C, Hematoxylin-eosin stain. Sonography of the skin lesions demonstrated intradermal slow-flow vascular malformations with a maximum diameter of 1.2 cm. A biopsy of a lower-extremity papule was performed (Figure, B and C). Mutational analysis resulted in the detection of a heterozygous pathogenicKRIT1variant. What Is Your Diagnosis?",Familial cerebral cavernous malformations,medium
"An 81-year-old White woman noted decreased vision in her left eye for 6 months. She was referred to the Ocular Oncology Service, Wills Eye Hospital, Philadelphia, Pennsylvania, for suspected choroidal melanoma. She disclosed a history of macular degeneration in both eyes and retinal detachment in the left eye that was treated 35 years previously. Medical history revealed cutaneous basal cell carcinoma and squamous cell carcinoma, both treated surgically. On examination, visual acuity was 20/50 OD and 20/400 OS. External examination showed posterior-chamber intraocular lenses in both eyes and conjunctival scarring in the left eye from circumferential scleral buckle surgery with no visible extraocular tumor. Fundus evaluation showed macular drusen in the right eye and a pale optic disc with geographic macular atrophy in the left eye, explaining her visual acuity of 20/400 OS. In addition, a shallow circumferential buckle effect and an inferotemporal mass measuring 15.0 × 10.0 mm in basal dimension and 9.1 mm in thickness (Figure, A) were seen in the left eye. The mass appeared elevated, amelanotic with overlying retinal vasculature, and with chorioretinal atrophy. No retinal detachment or breaks were seen. By ultrasonography the mass was echolucent (Figure, A inset). Magnetic resonance imaging (MRI) revealed a T1, T2-hypointense shallow circumferential band in the left eye. In addition, there was an inferotemporal nodular mass in the left eye showing T1 (gadolinium) hypointense, T2-hyperintense features, underlying the encircling buckle, and with adjacent subtle delineation. There was no enhancement with gadolinium (Figure, B). Fundus photograph and magnetic resonance imaging of the left eye. A, Fundus photograph of left eye showed a pale optic disc, geographic macular atrophy, and an inferotemporal amelanotic mass (white arrowhead); inset shows ultrasonography revealing an echolucent mass (white arrowhead). B, Magnetic resonance imaging (MRI) (T2-weighted axial orientation) revealed a shallow hypointense circumferential band in the left eye (pink arrowheads), inferotemporal hyperintense nodular mass (asterisk), and inward compressed sclera (white arrowhead); inset (T1-weighted coronal orientation with gadolinium) shows hypointense encircling band (pink arrowhead), subtle scleral indentation (white arrowhead), and no gadolinium enhancement of mass (asterisk). What Would You Do Next?",Observation,hard
"A woman in her 30s presented with progressive, multiple itchy erythematous to violaceous papules and plaques localized to the left shin for more than 10 years (Figure, A and B). On close inspection, milia and a few erosions with partially detached epidermis were identified. There were no abnormalities of the mucous membranes, nails, hair, or teeth. No extracutaneous involvement was observed. A, Multiple pruritic erythematous to violaceous lichenified papules and plaques on the left shin. B, Close-up of the skin lesions showing an erosion with partially detached epidermis and multiple milia. C, Histopathologic examination revealed dermoepidermal separation (hematoxylin-eosin stain). D, Histopathologic examination revealed several milia (hematoxylin-eosin stain). What Is Your Diagnosis?",Epidermolysis bullosa pruriginosa (EBP),easy
"A 13-year-old girl with a 7-day history of painless vision loss and central scotoma in her left eye was referred to the department of ophthalmology. Three weeks prior, she had presented with mild fever and flulike symptoms, associated with a severe frontal headache that was mildly relieved by analgesics. Her medical history was positive for relapsing urinary tract infections since early infancy without adequate follow-up. Findings of an ophthalmological examination 1 year prior were reported as normal. At initial examination, she was conscious but somewhat lethargic. Her best-corrected visual acuity was 20/20 OD and 20/80 OS. Pupillary light responses, extrinsic ocular motility, anterior segment biomicroscopy, and intraocular pressure were normal in both eyes. Dilated fundus examination revealed a bilateral sectorial macular star that was more extended in the left eye, with retinal veins slightly dilated and tortuous, attenuated arterioles, some juxta and peripapillary nerve fiber layer infarcts, and optic disc edema with marked papillary telangiectasia; in addition, some faint, small, tan-yellow dots were observed at the level of the retinal pigment epithelium in the posterior pole, some of them already grayish and with a hypopigmented halo (Figure 1). Optical coherence tomography displayed elevated optic discs and hyperreflective material in the outer plexiform layer temporal to the optic disc in both eyes and a macular neurosensory detachment in the left eye. Results of visual field testing were normal in the right eye and showed a central scotoma in the left eye. Fundus image of the right eye (A) and left eye (B) showing slight dilation of retinal veins (magenta arrowheads), intraretinal lipid deposits in the papillomacular bundle and the inferonasal macular quadrant forming an incomplete macular star (yellow arrowheads), optic disc edema and epipapillary telangiectasia (blue arrowheads), nerve fiber layer infarcts or cotton-wool nodules (green arrowheads) over the inferior margin of the optic disc in the right eye and juxta and parapapillary in the left eye, and paramacular temporal light-pigmented subretinal dots at the level of the retinal pigment epithelium (white arrowheads) in both eyes, with some already scarred (pigmented dot surrounded by a pale halo; gold arrowhead). What Would You Do Next?",Check blood pressure,hard
"An otherwise healthy 13-month-old male was scheduled to undergo excisional biopsy of a left anterior tongue submucosal intramuscular mass (Figure 1). This firm-to-palpation mass was noted at birth and remained proportional in size with the child’s somatic growth, measuring approximately 1 cm in diameter on presentation. Preoperative magnetic resonance imaging (MRI) documented the mass to be uniformly solid and well circumscribed without cystic components or flow voids, hypointense on T2, and hyperintense with homogeneous contrast enhancement on T1. His head, neck, and general examination findings were otherwise normal with no cervical lymphadenopathy or additional masses. What Is Your Diagnosis?",Rhabdomyoma,easy
"A 42-year-old woman with asthma, seasonal allergies, and invasive ductal breast carcinoma presented to the dermatology clinic for rash and poor wound healing 2 weeks after bilateral mastectomy. Five days after surgery, the patient noted erythema, edema, pain, pruritus, and serous fluid drainage at the mastectomy incision sites (Figure 1). Two days later, she developed an erythematous papulovesicular rash on her trunk and upper and lower extremities. A skin swab was sent for bacterial culture, and she was prescribed cefadroxil (500 mg twice daily for 1 week). The skin swab bacterial culture result was negative, and her skin findings did not improve with antibiotics. The patient reported having a similar episode of rash and delayed wound healing after laparoscopy 1 year prior to presentation. Erythema and crusting along incision sites surrounded by a papulovesicular rash. What Would You Do Next?",Start topical steroids and perform a skin patch test,easy
"A 56-year-old woman with a history of multiple myeloma complicated by therapy-related acute myeloid leukemia was admitted for myeloablative conditioning in preparation for allogeneic hematopoietic cell transplant. Her course was complicated by severe mucositis, acute kidney injury, and neutropenic fever. During her admission, the patient also developed painful necrotic skin lesions, a nonproductive cough, and altered mental status. Physical examination findings demonstrated dusky, purpuric, and pink papulonodules, some with overlying eschar, scattered on the scalp, neck, trunk, and extremities (Figure, A). Laboratory study results revealed a white blood cell count of 150/μL (reference range, 3500/μL to 10 500/μL), an absolute neutrophil count of 130/μL (reference range, 1500/μL to 7400/μL), and a platelet count of 19 ×103/μL (reference range, 150 ×103/μL to 400 ×103/μL). (To convert the white blood cell and neutrophil counts to cells ×109/L, multiply by 0.001; conversion of the platelet count to cells ×109/L is 1:1.) Blood culture results were negative. The results of a computed tomography (CT) scan of the brain showed no acute intracranial hemorrhage, territorial infarction, or mass effect. The results of a CT scan of the chest demonstrated multifocal bilateral ground-glass patchy opacities, scattered solid bilateral pulmonary nodules, and a moderately sized pericardial effusion. A biopsy specimen from a skin nodule on the left lateral thigh was obtained for histopathologic examination and tissue culture, and wet mount preparation of a tissue culture colony was performed (Figure, B). A, Physical examination findings demonstrate dusky and pink papulonodules, some with overlying eschar, scattered on the scalp, neck, and extremities. B, Lactophenol cotton blue staining of a tissue culture colony reveals septated hyphae and oval microconidia. What Is Your Diagnosis?",Disseminated fusariosis,hard
"A man in his 80s presented to the dermatology clinic with a 3-month history of a violaceous plaque with blackish papules and nodules on his left cheek, neck, and chest. He reported that the lesion had been asymptomatic but was increasing in size, with progression from his face to anterior chest. He received a diagnosis of primary salivary duct carcinoma of the hard palate 1 year prior and had been receiving treatment with oral bicalutamide and radiotherapy. A partially regressive change of the palatal tumor was noted radiographically during regular follow-up 3 months previously. On clinical examination, a hemorrhagic and erythematous plaque with multiple purpuric-to-blackish infiltrative papules and nodules extending from cheek, lateral neck, to the interclavicular area was found (Figure 1). An incisional biopsy from the infiltrative nodule on cheek was performed and submitted for histopathologic analysis. Hemorrhagic and erythematous plaque with multiple infiltrative purpuric-to-blackish papules and nodules with varying sizes extending from left cheek, neck, to chest. What Is Your Diagnosis?",Carcinoma hemorrhagiectoides,easy
